"year","election_type","state","votes","eligible_voters"
1990,"Midterm","Indiana",1566371,4080236
1990,"Midterm","Iowa",1004908,2030935
1990,"Midterm","Kansas",805251,1783412
1990,"Midterm","Kentucky",NA,2722356
1990,"Midterm","Louisiana",NA,2959148
1990,"Midterm","Maine",NA,910982
1990,"Midterm","Maryland",1170867,3397126
1990,"Midterm","Massachusetts",2424579,4384671
1990,"Midterm","Michigan",2641649,6693069
1990,"Midterm","Minnesota",1843104,3136830
1990,"Midterm","Mississippi",NA,1824156
1990,"Midterm","Missouri",NA,3740308
1990,"Midterm","Montana",326652,573045
1990,"Midterm","Nebraska",604195,1131746
1990,"Midterm","Nevada",325959,858018
